iter	RMSE
0	1023.590781
1	979.0154169
2	937.0867861
3	897.1623222
4	859.5305003
5	823.9587889
6	790.3179715
7	758.2458174
8	727.9768185
9	699.3546369
10	672.3105217
11	646.9431435
12	623.0755035
13	600.5275229
14	579.2214513
15	559.1216022
16	540.2048942
17	522.4603957
18	505.7267513
19	490.1727737
20	475.457675
21	461.5818523
22	448.7930693
23	436.6744736
24	425.204672
25	414.4340305
26	404.4447555
27	395.05564
28	386.4995162
29	378.2499688
30	370.5475455
31	363.2948641
32	356.7757165
33	350.6556237
34	344.8158619
35	339.5040156
36	334.4073859
37	329.7975696
38	325.4047123
39	321.4418044
40	317.7510438
41	314.2537417
42	310.8040919
43	307.7165294
44	304.9857078
45	302.320098
46	299.6699846
47	297.2462881
48	295.0604798
49	292.9404394
50	291.1433315
51	288.9012967
52	287.2265164
53	285.6420428
54	284.0234791
55	282.57003
56	281.2543542
57	279.751241
58	278.4693154
59	277.3975168
60	276.225885
61	274.8887766
62	273.6687281
63	272.6982461
64	271.6559707
65	270.7141032
66	269.9564938
67	269.0469443
68	268.2997365
69	267.2508757
70	266.6215283
71	265.8266896
72	265.1777641
73	264.5985412
74	263.7402737
75	263.1589913
76	262.5604125
77	261.7512302
78	261.2778091
79	260.2377959
80	259.61408
81	258.9289206
82	257.9589337
83	257.4641784
84	256.5766872
85	255.9440315
86	255.5937823
87	255.0289768
88	254.6724922
89	253.7694946
90	253.2505515
91	252.5242697
92	252.2241579
93	251.89727
94	251.5329702
95	250.7722211
96	250.3739472
97	250.1161583
98	249.8809111
99	249.5577262
100	249.2683175
101	248.9516193
102	248.221388
103	247.4897883
104	247.2330536
105	246.762938
106	246.5022797
107	245.7445694
108	245.4561575
109	245.2068592
110	244.9750232
111	244.7755867
112	244.4619152
113	244.1915967
114	243.8200249
115	243.6056195
116	243.1369972
117	242.875045
118	242.2089905
119	242.0047112
120	241.7921052
121	241.5635417
122	241.371026
123	241.1773633
124	240.4610471
125	239.9688898
126	239.7869645
127	239.2175945
128	238.9158086
129	238.5995257
130	238.4039766
131	238.2046457
132	237.9923266
133	237.7370357
134	237.4845071
135	237.3311893
136	237.014685
137	236.8364975
138	236.1705062
139	235.9757395
140	235.7817771
141	235.6077613
142	235.45716
143	235.2449658
144	234.9379823
145	234.4222581
146	234.2781669
147	234.0598601
148	233.7972364
149	233.6138218
150	233.4295954
151	233.2253381
152	232.6449575
153	232.3572341
154	232.0357559
155	231.856828
156	231.4024588
157	231.1881139
158	230.9407229
159	230.6353412
160	230.4667484
161	230.1856622
162	229.9881196
163	229.7621427
164	229.3285311
165	229.1998283
166	228.9256865
167	228.731902
168	228.5576427
169	228.4194824
170	228.2685525
171	227.9819912
172	227.5592701
173	227.1342048
174	226.9432152
175	226.8472058
176	226.622059
177	226.4805707
178	226.2470861
179	226.0578488
180	225.8670247
181	225.7743846
182	225.6139312
183	225.4314487
184	225.2729199
185	225.0915221
186	224.9262967
187	224.6455425
188	224.4170249
189	224.2529955
190	224.1236782
191	223.7406781
192	223.6116192
193	223.5300489
194	223.2757277
195	223.1003067
196	222.9311622
197	222.818096
198	222.6937394
199	222.4705947
200	222.3927346
201	222.3166922
202	222.0235428
203	221.8355243
204	221.6619474
205	221.5529633
206	221.429462
207	221.3352662
208	221.191906
209	220.9533072
210	220.8275278
211	220.4944236
212	220.2924495
213	220.1196623
214	220.0085763
215	219.9006929
216	219.7396824
217	219.6251204
218	219.4621284
219	219.3167701
220	219.2062216
221	219.1397386
222	219.0735864
223	218.9509423
224	218.7788103
225	218.7153635
226	218.516801
227	218.4561166
228	218.1786666
229	218.0618589
230	218.0022792
231	217.848149
232	217.6869288
233	217.6282002
234	217.5328656
235	217.4186571
236	217.1627986
237	216.9791931
238	216.8793126
239	216.6617154
240	216.5221893
241	216.4709565
242	216.3110987
243	216.1841238
244	215.9981608
245	215.7665357
246	215.4992153
247	215.3530763
248	215.135743
249	215.028918
250	214.8407642
251	214.6612193
252	214.5125056
253	214.2795379
254	214.1465171
255	214.0243174
256	213.718966
257	213.6374786
258	213.5937884
259	213.367925
260	213.2113047
261	213.0427851
262	212.8714899
263	212.6872273
264	212.574182
265	212.4770217
266	212.2933011
267	212.1293729
268	211.9869054
269	211.9097998
270	211.7600625
271	211.6073246
272	211.4727035
273	211.3765868
274	211.2907691
275	211.2022545
276	211.0785454
277	210.9394158
278	210.7877574
279	210.6266613
280	210.5328775
281	210.4177031
282	210.3821773
283	210.3132834
284	210.1948321
285	210.0968213
286	209.9899196
287	209.8687173
288	209.6904266
289	209.5480053
290	209.4489306
291	209.414259
292	209.3800239
293	209.274619
294	209.1787601
295	209.0335527
296	208.8728987
297	208.7596963
298	208.6835232
299	208.5958173
300	208.5207794
301	208.4172806
