iter	Passed	Remaining
0	254	127062
1	333	82946
2	411	68198
3	485	60144
4	564	55839
5	635	52354
6	713	50225
7	782	48111
8	854	46618
9	923	45262
10	991	44094
11	1067	43399
12	1145	42896
13	1215	42209
14	1285	41550
15	1367	41379
16	1462	41554
17	1555	41640
18	1660	42033
19	1769	42477
20	1884	42980
21	1997	43395
22	2114	43859
23	2238	44390
24	2390	45410
25	2547	46441
26	2704	47375
27	2833	47764
28	2977	48360
29	3116	48826
30	3282	49656
31	3412	49913
32	3562	50414
33	3707	50820
34	3860	51293
35	3997	51523
36	4140	51808
37	4321	52539
38	4450	52612
39	4585	52729
40	4742	53087
41	4869	53106
42	5019	53345
43	5171	53598
44	5306	53657
45	5489	54180
46	5613	54108
47	5772	54356
48	5912	54417
49	6060	54548
50	6186	54461
51	6328	54519
52	6465	54531
53	6617	54656
54	6786	54912
55	6950	55104
56	7084	55063
57	7217	55002
58	7392	55255
59	7547	55349
60	7681	55281
61	7826	55291
62	7969	55280
63	8110	55251
64	8269	55342
65	8444	55529
66	8604	55610
67	8750	55593
68	8902	55606
69	9035	55505
70	9187	55511
71	9361	55647
72	9521	55692
73	9688	55774
74	9859	55869
75	10005	55818
76	10144	55726
77	10327	55876
78	10509	56006
79	10690	56126
80	10829	56017
81	11018	56167
82	11173	56135
83	11324	56083
84	11482	56062
85	11628	55979
86	11791	55975
87	11934	55877
88	12098	55869
89	12258	55845
90	12399	55729
91	12582	55798
92	12709	55620
93	12858	55539
94	13008	55459
95	13162	55390
96	13336	55409
97	13485	55318
98	13621	55173
99	13797	55189
100	13923	55005
101	14083	54953
102	14229	54846
103	14376	54742
104	14519	54619
105	14691	54608
106	14834	54484
107	15002	54454
108	15120	54239
109	15280	54176
110	15431	54080
111	15629	54145
112	15790	54080
113	15910	53873
114	16093	53876
115	16252	53800
116	16387	53643
117	16576	53663
118	16713	53512
119	16854	53373
120	16990	53217
121	17166	53186
122	17287	52987
123	17448	52907
124	17624	52874
125	17768	52741
126	17925	52646
127	18068	52511
128	18207	52364
129	18350	52227
130	18474	52038
131	18602	51860
132	18763	51776
133	18946	51750
134	19094	51625
135	19326	51725
136	19457	51554
137	19606	51431
138	19777	51363
139	19911	51201
140	20072	51106
141	20233	51010
142	20388	50899
143	20556	50821
144	20695	50667
145	20816	50472
146	20951	50313
147	21093	50169
148	21228	50007
149	21427	49998
150	21594	49910
151	21749	49795
152	21914	49701
153	22096	49645
154	22291	49615
155	22528	49677
156	22696	49585
157	22918	49608
158	23067	49472
159	23212	49326
160	23358	49183
161	23508	49048
162	23668	48933
163	23862	48889
164	24029	48787
165	24177	48646
166	24337	48528
167	24505	48428
168	24645	48269
169	24839	48218
170	25013	48125
171	25171	48002
172	25296	47815
173	25427	47639
174	25577	47500
175	25696	47305
176	25860	47191
177	25995	47026
178	26174	46939
179	26318	46789
180	26492	46691
181	26638	46544
182	26789	46405
183	26968	46315
184	27139	46210
185	27322	46124
186	27519	46062
187	27650	45888
188	27780	45712
189	27930	45571
190	28086	45438
191	28258	45332
192	28388	45156
193	28500	44954
194	28654	44817
195	28808	44682
196	28941	44514
197	29113	44406
198	29279	44287
199	29426	44140
200	29568	43985
201	29679	43784
202	29827	43639
203	29961	43472
204	30139	43371
205	30295	43237
206	30458	43113
207	30628	42997
208	30787	42867
209	30964	42760
210	31154	42671
211	31357	42598
212	31528	42482
213	31725	42399
214	31897	42282
215	32072	42169
216	32288	42109
217	32420	41938
218	32574	41796
219	32731	41657
220	32889	41521
221	32995	41318
222	33118	41138
223	33262	40984
224	33397	40819
225	33533	40655
226	33693	40521
227	33820	40347
228	33979	40211
229	34130	40066
230	34250	39885
231	34414	39754
232	34557	39600
233	34691	39435
234	34850	39299
235	34981	39131
236	35123	38976
237	35295	38854
238	35417	38677
239	35611	38579
240	35776	38449
241	35879	38252
242	36025	38100
243	36179	37959
244	36336	37819
245	36469	37655
246	36637	37527
247	36796	37389
248	36957	37254
249	37108	37108
250	37257	36960
251	37415	36822
252	37581	36690
253	37760	36571
254	37930	36443
255	38129	36341
256	38264	36179
257	38402	36021
258	38522	35845
259	38657	35684
260	38827	35554
261	38984	35413
262	39146	35276
263	39309	35140
264	39465	34997
265	39653	34883
266	39794	34726
267	39974	34605
268	40150	34479
269	40303	34332
270	40488	34213
271	40624	34052
272	40750	33883
273	40896	33732
274	41064	33597
275	41245	33474
276	41425	33349
277	41593	33214
278	41741	33064
279	41889	32913
280	42055	32776
281	42239	32653
282	42330	32458
283	42453	32288
284	42601	32138
285	42757	31993
286	42898	31837
287	43060	31697
288	43226	31559
289	43383	31415
290	43545	31274
291	43650	31093
292	43755	30912
293	43903	30761
294	44048	30609
295	44231	30483
296	44378	30332
297	44523	30180
298	44737	30074
299	44861	29907
300	45028	29769
301	45184	29624
302	45322	29466
303	45498	29334
304	45615	29163
305	45763	29013
306	45941	28881
307	46071	28719
